jobTitle,position,description,skills,location,jobId,status,priority,priceType,workType,jobType,combined_text
Data Scientist,Data Scientist,"Classification: All - Finance / Accounts / Investment Banking

Skills Required: SQL, Python, Machine Learning, Natural Language Processing (NLP),NoSQL, PyTorch Software Library, Scikit-learn, TensorFlow Software Library
Job Description

Experience: 3-5 Years
Location: Bangalore
Notice Period: Immediate-30 days
Interview process: Round 1: Assignment and Round 2: Technical Interview

Responsibilities:

1.Design, Implement and Evaluate models and Design machine learning systems(NLP, text analytics, information retrieval, search, and recommendation systems, Knowledge graph, conversational system, Time-series based modelling, forecasting)
2.Design, development, evaluate and deploy innovative and highly scalable ML to improve the quality of products.
3.You should be passionate about working with data sets and be someone who loves to bring datasets together and use machine learning and analytical techniques to answer business questions and deliver actionable user-insights to build the best products and models.
4.Rapidly prototype integration of latest research in the field of ML/DL into the product.
Work closely with team of high performing data scientist and single ownership to identify opportunities, design, and assess improvements to ML Engine & Products

Role Skills:

3-5 years of hands-on experience in building machine learning systems for large datasets.
Ability to break down and frame business problems into data science solutions and hands-on capability to create MVP out of it and run a DS project end to end independently.
In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
Experience in NLP (Sequence segmentation, Labeling and parsing, Knowledge extraction, Question answering, Multi text learning, ontology, taxonomy building), Machine Learning.
Experience in Entity Extraction, Entity Linking, Clustering algorithms.
Proficient in Math & Deep Learning (VAE, RNN, LSTM, CNN, attention models, Transfomer etc.), machine learning(svm, random forest), Clustering, topic modeling(LDA, LSA) and graph models.
Experience in Python, Scikit-learn, Pytorch, Keras, Tensorflow
Experience of implementing Deep Learning models into production
Familiarity with distributed computing.
Experience with SQL and/or No-SQL modelling.
Excellent communication, analytical and problem-solving skills.
B.S./B.S.E./MS degree in Applied Math, Data Science, Computer Science, Physics, or Similar Technical Field
Preferred Qualifications:

Passion to dive deep to resolve problems at their root.
Experience in Data Governance, Data quality, Model Governance & MLops is a huge plus. Functional knowledge of platforms such as MLFLOW, Hopsworks/Sagemaker feature store/feast/Tecton, Seldon, DVC.
Experience on building fair & explainable ML based product.
Experience on federated learning, differential privacy, reinforcement learning.
Experience on A/B testing, federated learning, differential privacy.
Experience of git, flask, restful APIs.
Experience working in a fast-paced, high tech environment.","{SQL,Python,""Machine Learning"",""Natural Language Processing""}",{Bangalore},JDDS6273,active,High,INR,Work from Office,Permanent,classification finance account investment banking skill required sql python machine learning natural language processing nlp nosql pytorch software library tensorflow software library job description experience year location bangalore notice period day interview process round assignment round technical interview responsibility implement evaluate model design machine learning system nlp text analytics information retrieval search recommendation system knowledge graph conversational system based modelling forecasting development evaluate deploy innovative highly scalable ml improve quality product passionate working data set someone love bring datasets together use machine learning analytical technique answer business question deliver actionable build best product model prototype integration latest research field product work closely team high performing data scientist single ownership identify opportunity design ass improvement ml engine product role skill year experience building machine learning system large datasets ability break frame business problem data science solution capability create mvp run d project end end independently knowledge supervised unsupervised machine learning algorithm including classification clustering regression experience nlp sequence segmentation labeling parsing knowledge extraction question answering multi text learning ontology taxonomy building machine learning experience entity extraction entity linking clustering algorithm proficient math deep learning vae rnn lstm cnn attention model transfomer etc machine learning svm random forest clustering topic modeling lda lsa graph model experience python pytorch kera tensorflow experience implementing deep learning model production familiarity distributed computing experience sql modelling excellent communication analytical skill degree applied math data science computer science physic similar technical field preferred qualification passion dive deep resolve problem root experience data governance data quality model governance mlops huge plus functional knowledge platform mlflow feature seldon dvc experience building fair explainable ml based product experience federated learning differential privacy reinforcement learning experience testing federated learning differential privacy experience git flask restful apis experience working high tech environment sql python machine learning natural language processing
ETL Developer,ETL Developer,"Expertise with Oracle batches to Postgres/S3/Snowflake stream processing Good troubleshooting skills.   Soft skills for both UI/ Java/ETL Developer: Good communication skills Ability to adapt to and deliver in a fast-paced environment. Can work in a team, focuses on team success rather than individual.","{""ETL developer""}",{Hyderabad},JDED3820,Active,High,INR,Hybrid,Permanent,expertise oracle batch stream processing good troubleshooting skill soft skill developer good communication skill ability adapt deliver environment work team focus team success rather individual etl developer
Embedded Software Developer,Embedded," Design, develop and maintain software for Eruvaka IoT products  Analyse and understand system req","{Embedded,C}",{Hyderabad},JDES9473,Active,Medium,INR,Work from Office,Permanent,design develop maintain software eruvaka iot product analyse understand system req embedded c
Full Stack Developer,Full Stack Developer,"Job Description
JD: Full stack developer ( React & Node)

Experience:  2- 5 years Max

Notice period: Looking for Immediate to 15 days only

No. of Positions: 1

Job Description :

Experience in developing web applications using ReactJS or Angular 6+
Proficient understanding of web markup, including HTML5, CSS3
Knowledge of Node JS is an added advantage
Knowledge of RESTful APIs.
Note: Candidates are expected to work on Nodejs post they join.","{React,Node,AWS}",{Remote},JDFD2233,Active,Medium,INR,Work from Home,Permanent,job description jd full stack developer react node experience year max notice period looking immediate day position job description experience developing web application using reactjs angular proficient understanding web markup including knowledge node j added advantage knowledge restful apis note candidate expected work nodejs post join react node aws
Peoplesoft Techno Functional Developer,Functional Developer,"Job Description
JD: Peoplesoft techno-Functional Developer:



• 3 to 4 years of techno-Functional experience with PeopleSoft financials.

• Should have good knowledge in FSCM module like AP, GL , AR and Project Costing

• PeopleTools software development experience using PeopleCode, Workflow, SQR, Application Engine, Data Mover, Integration Broker and Component Interface.

• Report Development (XML publisher, SQR, queries) experience.

• Interface Development experience.

• Testing experience during all system and end user testing, including issue analysis and resolution.

• Ability to document technical specifications.

• Strong analytical and design skills.

• Strong communication skills and ability to work closely with business and functional resources to develop sustainable business solutions Flexible to work in rotational shift.","{""Communication skills"",""Functional Resources"",""Analytical and designing skills"",""Document Technical Specifiying""}",{Bangalore},JDFD3420,Active,Medium,INR,Work from Office,Permanent,job description jd peoplesoft developer year experience peoplesoft financials good knowledge fscm module like ap gl ar project costing peopletools software development experience using peoplecode workflow sqr application engine data mover integration broker component interface report development xml publisher sqr query experience interface development experience testing experience system end user testing including issue analysis resolution ability document technical specification strong analytical design skill strong communication skill ability work closely business functional resource develop sustainable business solution flexible work rotational shift communication skill functional resource analytical designing skill document technical specifiying
Frontend Developer,Frontend Developer,"We are seeking a talented and experienced front-end developer to join our dynamic team. As a developer, you will be responsible for designing, developing, and maintaining web applications. You will work closely with our cross-functional team to deliver high-quality, scalable, and user-friendly web solutions connected to BWS blockchain.
Responsibilities:
Develop and maintain web applications from concept to deployment.
Collaborate with product managers, designers, and other developers to understand project requirements.
Participate in UI/UX design discussions and provide technical insights to create visually appealing and functional interfaces.
Write clean, efficient, and maintainable code.
Implement and maintain database systems, ensuring data security and integrity.
Perform unit testing and debugging to ensure the reliability of applications.
Optimize applications for maximum speed and scalability.
Stay updated with emerging technologies and best practices in web development.
Troubleshoot and resolve technical issues as they arise.
Participate in code reviews to maintain code quality standards.
Collaborate with the team to continuously improve development processes and workflows.
Qualifications:
Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent experience).
Proven experience as a front-end development in single page apps (React, Vue, Angular)
Proficiency in front-end technologies such as HTML, CSS, JavaScript, and modern JavaScript frameworks (e.g., React, Angular, or Vue.js).
Strong backend development skills with proficiency in server-side languages (e.g., Node.js, Python, Ruby, etc.).
Experience with database systems (SQL and NoSQL).
Familiarity with web servers and deployment processes.
Knowledge of version control systems (e.g., Git).
Excellent problem-solving skills and attention to detail.
Ability to work in an agile development environment.
Desired Skills:
Experience with mobile app development (iOS/Android).
Knowledge of cloud platforms (e.g., AWS, Azure, Google Cloud).
Understanding of DevOps practices.
Security best practices in web development.
Familiarity with containerization and orchestration technologies (e.g., Docker, Kubernetes).","{ReactJS,AngularJS,VueJS,NodeJS}",{Hyderabad},JDFD4281,active,Low,INR,Work from Office,Permanent,seeking talented experienced developer join dynamic team developer responsible designing developing maintaining web application work closely team deliver scalable web solution connected bw blockchain responsibility develop maintain web application concept deployment collaborate product manager designer developer understand project requirement participate design discussion provide technical insight create visually appealing functional interface write clean efficient maintainable code implement maintain database system ensuring data security integrity perform unit testing debugging ensure reliability application optimize application maximum speed scalability stay updated emerging technology best practice web development troubleshoot resolve technical issue arise participate code review maintain code quality standard collaborate team continuously improve development process workflow qualification bachelor degree computer science information technology related field equivalent experience proven experience development single page apps react vue angular proficiency technology html cs javascript modern javascript framework react angular strong backend development skill proficiency language python ruby experience database system sql nosql familiarity web server deployment process knowledge version control system git excellent skill attention detail ability work agile development environment desired skill experience mobile app development knowledge cloud platform aws azure google cloud understanding devops practice security best practice web development familiarity containerization orchestration technology docker kubernetes reactjs angularjs vuejs nodejs
Flutter developer,Flutter developer," candidate should have experience building native applications, JavaScript knowledge, and a portfolio of applications already published either in the app store or self-hosted.
Candidate shud engineer applications that will run across Android, iOS, and the web.","{Agile,Flutter,Github}",{ChennaiMumbaiPune},JDFD6550,Active,High,INR,Work from Office,Permanent,candidate experience building native application javascript knowledge portfolio application already published either app store candidate shud engineer application run across android io web agile flutter github
FPnA Lead (Non CA),FPnA Lead (Non CA),"Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

 

Title: Lead –FPnA (Non CA)

Experience: 6 to 7 Yrs

Mandatory Skills:

•              Non-CA (M.Com,MBA-Finance,CA Inter) with post qualification experience of 6 to 7 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•              Excellent stakeholder management skills and interpersonal skills.

•              Demonstrates the ability to manage multiple clients and diverse team

Job Description:

•              Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•              Work with Business Unit heads to build their annual budgets and forecasts.

•              Producing models to project long-term growth and determine the impacting business factors.

•              Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•              Analyzing financial and operational results to better understand company performance.

•              Support month end close task, Journals, allocations, reporting and consolidation","{""stakeholder management skills"",""Financial Planning and Analysis""}",{Bangalore},JDFL5348,inActive,High,INR,Work from Office,Permanent,work location prathik tech park electronic city bengaluru karnataka shift timing pm midnight work office title lead non ca experience yr mandatory skill ca inter post qualification experience year primarily financial planning analysis fp also good experience general accounting month end close consolidation excellent stakeholder management skill interpersonal skill demonstrates ability manage multiple client diverse team job description working closely leadership team formulate business medium financial strategic plan work business unit head build annual budget forecast producing model project growth determine impacting business factor delivery competitor analysis market trend associated commentary leadership team analyzing financial operational result better understand company performance support month end close task journal allocation reporting consolidation stakeholder management skill financial planning analysis
Full Stack Developer,Full Stack Developer,"Minimum 3-5 years experience in full stack development Hands on experience with HTML,CSS, JavaScript, React.JS, Redux, Node.JS, MongoDB","{ReactJS,NodeJS,"" MongoDB""}",{Hyderabad},JDFS1103,Active,High,INR,Work from Office,Contract,minimum year experience full stack development hand experience html cs javascript redux mongodb reactjs nodejs mongodb
FP&A Sr AM (CA),FP&A Sr AM (CA),"Work location: Prathik Tech Park, Electronic City Ph-1, Bengaluru, Karnataka.

Shift timings: 3 PM to 12 MIdnight

WORK FROM OFFICE

Notice: Max 30 days joiners plz
 

Title: Sr AM – FPnA (CA)

Shift Timing: 3 PM to 12 Midnight

Mandatory Skills:

•             CA with post qualification experience of 7 to 8 years primarily in Financial Planning & Analysis (FP&A) and also good experience in General Accounting month end close and consolidation

•             Experience in top CA firms or in multinational organization is preferred.

•             Excellent stakeholder management skills and interpersonal skills.

•             Demonstrates the ability to manage multiple clients and diverse team.



Job Description:

•             Working closely with the leadership team to formulate the business's medium to a long-term financial and strategic plan

•             Work with Business Unit heads to build their annual budgets and forecasts.

•             Producing models to project long-term growth and determine the impacting business factors.

•             Delivery of competitor analysis, market trends and associated commentary to the Leadership team

•             Analyzing financial and operational results to better understand company performance.

•             Support month end close task, Journals, allocations, reporting and consolidation","{""Financial Planning and Analysis"",""General Accounting""}",{Bangalore},JDFS4653,active,High,INR,Work from Office,Permanent,work location prathik tech park electronic city bengaluru karnataka shift timing pm midnight work office notice max day joiner plz title sr fpna ca shift timing pm midnight mandatory skill ca post qualification experience year primarily financial planning analysis fp also good experience general accounting month end close consolidation experience top ca firm multinational organization preferred excellent stakeholder management skill interpersonal skill demonstrates ability manage multiple client diverse team job description working closely leadership team formulate business medium financial strategic plan work business unit head build annual budget forecast producing model project growth determine impacting business factor delivery competitor analysis market trend associated commentary leadership team analyzing financial operational result better understand company performance support month end close task journal allocation reporting consolidation financial planning analysis general accounting
Full Stack Trainer,Developemnt,"Responsibilities:  Handling doubt session or query session of the students related to Full Stack web application development at the time of training Work with development teams and product managers to ideate software solutions Design client-side and server-side architecture, build the front-end of applications through appealing visual design Develop and manage well-functioning databases and applications Write effective APIs, test software to ensure responsiveness and efficiency Troubleshoot, debug and upgrade software Create security and data protection settings Build features and applications with a mobile responsive design Work with data scientists and analysts to improve software Well versed with the latest tool and industry updates related to each and every aspect of the full stack web application development or as per your expertise area; To Update and ensure all latest trends and best practices are covered in Qualifications and Skills Web","{React.js,Angular,Nodejs,trainer}",{Hyderabad},JDFS7433,Active,Medium,INR,Work from Office,Permanent,responsibility handling doubt session query session student related full stack web application development time training work development team product manager ideate software solution design architecture build application appealing visual design develop manage database application write effective apis test software ensure responsiveness efficiency troubleshoot debug upgrade software create security data protection setting build feature application mobile responsive design work data scientist analyst improve software well versed latest tool industry update related every aspect full stack web application development per expertise area update ensure latest trend best practice covered qualification skill web angular nodejs trainer
Full Stack Developer - Excellerate,Full Stack Developer- Excellerate,"Minimum 2-5 years experience within full stack development Hands on experience with HTML,CSS, JavaScript, React.JS, Redux, Node.JS, MongoDB
Experience with Azure and AWS is an added advantage","{ReactJS,"" NodeJS"","" MongoDB""}",{Hyderabad},JDFS9872,Active,High,INR,Work from Office,Permanent,minimum year experience within full stack development hand experience html cs javascript redux mongodb experience azure aws added advantage reactjs nodejs mongodb
 GL Process Associate , GL Process Associate ,"QUALIFICATIONS: BCom/MCom/ MBA finanace + CA inter or CMA certified preferred.  
JOB DETAILS:

• General Ledger accounting with substantial focus on Month end close activity.

• Checking the Balance sheet and Profit/ Loss for the accuracy (preparing the Balance Sheet account reconciliations)

• Working on the daily and weekly activity reports like bank reconciliation, payroll and others

. Should be flexible to work till 3 AM during month end.
","{""General Ledger""}",{Bangalore},JDG3832,Active,High,INR,Work from Office,Permanent,qualification mba finanace ca inter cma certified preferred job detail general ledger accounting substantial focus month end close activity checking balance sheet loss accuracy preparing balance sheet account reconciliation working daily weekly activity report like bank reconciliation payroll others flexible work till month end general ledger
SR GL Process Associate,SR GL Process Associate,"Accountabilities :
•         Prepares income and balance sheet statements, and various other accounting statements and financial reports

•         Analyzes complex financial reports and records, making recommendations relative to reserves, assets and expenditures

•         Reviews and verifies the accuracy of journal entries and accounting records

•         Reviews balance sheet reconciliations and proposes adjusting entries as necessary

Responsibilities :

•         Completes month-end close activities, including but not limited to journal entries, accruals, and accounting for payroll

•         Reconciles complex bank statements and records related entries

•         Prepares and maintains balance sheet reconciliations and supporting schedules

•         Assists in preparation of periodic, quarterly and annual financial statements 

•         Researches and respond to questions from Operations Managers

•         Participates in external audit as necessary by preparing required schedules and supplemental information, and responding to inquiries of external auditors

•         Assists in various special projects as needed

•         Other duties as assigned","{GL,""General Ledger""}",{Bangalore},JDGA2237,Active,High,INR,Work from Office,Permanent,accountability prepares income balance sheet statement various accounting statement financial report analyzes complex financial report record making recommendation relative reserve asset expenditure review verifies accuracy journal entry accounting record review balance sheet reconciliation proposes adjusting entry necessary responsibility completes close activity including limited journal entry accrual accounting payroll reconciles complex bank statement record related entry prepares maintains balance sheet reconciliation supporting schedule assist preparation periodic quarterly annual financial statement research respond question operation manager participates external audit necessary preparing required schedule supplemental information responding inquiry external auditor assist various special project needed duty assigned gl general ledger
Guidewire Developers,Developer,"Prior Guidewire PC Integration experience (Edge API)

Guidewire Insurance Suite JavaPortal Front End Javascript/Typescript (ECMAScript6 or ES6)
ReactJS, NodeJS, Javascript/Typescript (ECMAScript6 or ES6),HTML, CSS, UI Framework (Bootstrap/Material UI), P&C Domain knowledge Certification in Digital
Policy Center Administration/Knowledge of various job processes","{guidewire,""Guidewire Insurance Suite"",HTML,CSS,Bootstrap}",{Hyderabad},JDGD2195,Active,High,INR,Work from Home,Permanent,prior guidewire pc integration experience edge api guidewire insurance suite javaportal front end reactjs nodejs html cs ui framework ui p c domain knowledge certification digital policy center various job process guidewire guidewire insurance suite html cs bootstrap
Global Payroll Manager,Global Payroll Manager,"JD for Global Payroll Manager –

A Global Payroll Manager is responsible for overseeing the payroll process for clients operating across multiple countries. This role is to ensure that all employees are paid accurately and on time, while complying with relevant laws and regulations in each country.


Key responsibilities of a Global Payroll Manager include –

1.    Ensure payroll compliance: He/she is responsible for ensuring payroll compliance with all applicable tax, social security, and labor laws in each country. He/she needs to be familiar with tax treaties and agreements between countries that could impact payroll

2.    Manage payroll team: The Global Payroll Manager must manage and lead a team of 12-14 (and growing) payroll professionals to ensure that all payroll activities are completed accurately and on time.

3.    Core technical: He/she must be hands on and very much familiar with payroll process (US, Canada, EMEA, APAC primarily), onboarding, offboarding, PTO, garnishments, various reports, employee query handling, year-end employee reports (W2 and others) and other payroll reports, helping and reviewing SOPs.

4.    Manage and supervise a team of payroll specialists to ensure that payroll processes are executed in a timely and accurate manner.

5.    Ensure compliance with all applicable payroll regulations and tax laws for both US and EMEA regions.

6.    Ensure timely filing of all payroll-related tax returns and payments.

7.    Work closely with other departments such as HR, Finance, and Legal to ensure seamless coordination of payroll-related activities.

8.    Transition experience: Has hands on experience in transitioning work to India, gets hands dirty at the initial phase, team the juniors on the activities to be performed, building initial impression with the client, ensuring error free, on time transition.

9.    Manage relationships with the client: He/she must build and maintain relationships with the clients, understand the requirements and implement the same. Also, suggest best practices.

10.    Collaborate with internal stakeholders: He/she must work closely with internal stakeholders, managers to build an efficient team, staffing needs, optimize existing resource.

11.    Continuously improve payroll process: He/she must identify areas for improvement and implement changes to streamline the payroll process, reduce errors, and increase efficiency.

12.    Building a strong sustainable culture: Build a strong team of culture with collaboration, team building, professionalism.



Qualification and experience required –

•    Bachelor's degree in Business Administration, Accounting, or related field
•    14+ years of experience in payroll management, preferably in a shared services environment
•    Thorough knowledge of US and EMEA payroll regulations and tax laws
•    Experience working with leading payroll applications such as ADP, Workday, UKG
•    Strong leadership and supervisory skills, with the ability to motivate and manage a team.
•    Excellent analytical and problem-solving skills
•    Strong communication and interpersonal skills, with the ability to work effectively with all levels of the organization.
•    Detail-oriented with the ability to manage multiple priorities in a fast-paced environment.
•    Knowledge of HRIS systems and reporting tools is a plus.

Work timing -
Work from office with hybrid model, preferred US hours, however flexible working from 3pm to 12am IST with flexibility during pay days or critical transition days.","{""USA Canada and APAC payroll"",""Ensure payroll compliance"",""Strong leadership and supervisory skills"",""problem solving skills""}",{Bangalore},JDGP3661,active,High,INR,Work from Office,Permanent,jd global payroll manager global payroll manager responsible overseeing payroll process client operating across multiple country role ensure employee paid accurately time complying relevant law regulation country key responsibility global payroll manager include ensure payroll compliance responsible ensuring payroll compliance applicable tax social security labor law country need familiar tax treaty agreement country could impact payroll manage payroll team global payroll manager must manage lead team growing payroll professional ensure payroll activity completed accurately time core technical must hand much familiar payroll process u canada emea apac primarily onboarding offboarding pto garnishment various report employee query handling employee report others payroll report helping reviewing sop manage supervise team payroll specialist ensure payroll process executed timely accurate manner ensure compliance applicable payroll regulation tax law u emea region ensure timely filing tax return payment work closely department hr finance legal ensure seamless coordination activity transition experience hand experience transitioning work india get hand dirty initial phase team junior activity performed building initial impression client ensuring error free time transition manage relationship client must build maintain relationship client understand requirement implement also suggest best practice collaborate internal stakeholder must work closely internal stakeholder manager build efficient team staffing need optimize existing resource continuously improve payroll process must identify area improvement implement change streamline payroll process reduce error increase efficiency building strong sustainable culture build strong team culture collaboration team building professionalism qualification experience required bachelor degree business administration accounting related field year experience payroll management preferably shared service environment thorough knowledge u emea payroll regulation tax law experience working leading payroll application adp workday ukg strong leadership supervisory skill ability motivate manage team excellent analytical skill strong communication interpersonal skill ability work effectively level organization ability manage multiple priority environment knowledge hris system reporting tool plus work timing work office hybrid model preferred u hour however flexible working ist flexibility pay day critical transition day usa canada apac payroll ensure payroll compliance strong leadership supervisory skill problem solving skill
GM Sales,Business development,"

Responsible for P&L of Transport and Logistics vertical , also responsible for both value and volume of business. Should possess or imbibe in depth knowledge of the functioning of this vertical and the challenges faced by the segment.
Should be suave to gather inputs to strategically build solutions for this segment filter high potential deals by analyzing business strategies, opportunity requirements / pre-requisites / financials, and internal priorities
Should have a team to manage a team of professionals responsible for generating revenue ,new customer acquisitions and overall target & will be accountable for managing, and building the sales performance, and overall team efficiency
The Vertical Head will design strategies by considering the risks and rewards, keeping in mind the counter-parties- preferences & goals.
He /She will lead and close large deals, understand the customer’s requirements thoroughly, and tailor pitch the deal/products accordingly.
Managing customer relationships at all levels will be an important function and he / she will be responsible for gathering and acting upon Market Intelligence, consumer choices and consumer behavior.","{Sales,T&L}",{Mumbai},JDGS6287,Active,Medium,INR,Work from Office,Permanent,responsible p l transport logistics vertical also responsible value volume business posse imbibe depth knowledge functioning vertical challenge faced segment suave gather input strategically build solution segment filter high potential deal analyzing business strategy opportunity requirement financials internal priority team manage team professional responsible generating revenue new customer acquisition overall target accountable managing building sale performance overall team efficiency vertical head design strategy considering risk reward keeping mind preference goal lead close large deal understand customer requirement thoroughly tailor pitch accordingly managing customer relationship level important function responsible gathering acting upon market intelligence consumer choice consumer behavior sale l
HR Associate,HR Associate,"Job Description:
We are looking for a dynamic teammate that will play a key role in leading the recruitment initiative in
our company. The ideal candidate would be primarily working on recruitment, along with employee
relations, L&amp;D, Employee Issue Management and Vendor management. The role would also extend to
manage some of the operations related roles. A positive person with a self-starter attitude and
excellent communication skills that can build relationships would just nail it.
If you&#39;re someone who is result oriented, upbeat and enjoys working with great people, then you will
love the vibe and the broad range of responsibilities that can uplift your career.
Roles and Responsibilities
 You will actively handle different recruitment initiatives across all touch points, sourcing great
talent through innovative sources, job-portals and coordinate with the stake holders.
 You will devise and implement strategies around corporate branding, scouting for potential hires,
coordinate outreach programs with respect to recruitment.
 Build a strong network in the Human resource community to develop a continuous source for
potential candidates
 Actively work and engage with the team and exhibit a proactive participation in building and
maintaining a positive work environment
 Constant management of all HR Tools and maintain related data.
 Handling end-to-end employee onboarding, off-boarding and mobility.
 Handle a range of back-end operations including Employee on-boarding, maintaining
documentation and data, vendor management, benefits, training and development, HRM tool,
employee engagement.
 Self-starter who can operate effectively in a fast-paced environment and navigate ambiguity,
independently.
 Strong attention to detail, successful project management abilities, ability to multitask and deliver
on multiple streams of work in parallel.
Job Specifications:
 Confident and energetic, with strong verbal and written communication skills.
 MBA in HR with 1 to 3 years of experience (technical background like Btech / BE +MBA is a plus)
 Strong morals and ethics, along with a commitment to maintaining staff privacy and confidentiality.
Shift Timings: General shift
Location: Electronic City Phase 1, Bangalore
Key Notes:
1. Role: Hr Associate / Jr. HR associate
2. Job code in subject line: HR02
3. Type: Contract role of 6 months extendable to 9 months if required.
(Can be absorbed after the contract based on performance and requirement)
4. Shift: General shift
5. Cab facility: No
Notice Period: 30 days Max",{HR},{Bangalore},JDHA2244,Active,High,INR,Work from Office,Contract,job description looking dynamic teammate play key role leading recruitment initiative company ideal candidate would primarily working recruitment along employee relation l amp employee issue management vendor management role would also extend manage operation related role positive person attitude excellent communication skill build relationship would nail someone result oriented upbeat enjoys working great people love vibe broad range responsibility uplift career role responsibility actively handle different recruitment initiative across touch point sourcing great talent innovative source coordinate stake holder devise implement strategy around corporate branding scouting potential hire coordinate outreach program respect recruitment build strong network human resource community develop continuous source potential candidate actively work engage team exhibit proactive participation building maintaining positive work environment constant management hr tool maintain related data handling employee onboarding mobility handle range operation including employee maintaining documentation data vendor management benefit training development hrm tool employee engagement operate effectively environment navigate ambiguity independently strong attention detail successful project management ability ability multitask deliver multiple stream work parallel job specification confident energetic strong verbal written communication skill mba hr year experience technical background like btech plus strong moral ethic along commitment maintaining staff privacy confidentiality shift timing general shift location electronic city phase bangalore key note role hr associate hr associate job code subject line type contract role month extendable month required absorbed contract based performance requirement shift general shift cab facility notice period day max hr
helpdesk,helpdesk,"  Serve as the first contact with customers who need technical assistance via the phone or email.
","{""IT support"",""application support""}","{""Bengaluru ""}",JDHD2293,Active,High,INR,Work from Office,Permanent,serve first contact customer need technical assistance via phone email support application support
HR Executive,HR Executive,"Should have experience in Payroll, Recruitment, Operations and Administration, Policies and Documentation, Compensation and Employee Benefits, Statutory compliances. Must have solid organizational skills and be familiar with HR functions. Maintaining physical and digital personnel records like employment contracts. Candidate will act as the first point of contact for HR-related queries from employees and external partners. Administrative duties include maintaining personnel records, managing HR documents (e.g., employment records and onboarding guides) and updating internal databases. Liaise with external partners, like insurance vendors, and ensure legal compliance. Thorough knowledge of labor laws.","{Recruitment,Payroll,""Operations and Administration""}",{Hyderabad},JDHE2858,Active,High,INR,Work from Office,Permanent,experience payroll recruitment operation administration policy documentation compensation employee benefit statutory compliance must solid organizational skill familiar hr function maintaining physical digital personnel record like employment contract candidate act first point contact query employee external partner administrative duty include maintaining personnel record managing hr document employment record onboarding guide updating internal database liaise external partner like insurance vendor ensure legal compliance thorough knowledge labor law recruitment payroll operation administration
Helpdesk Specialist,Helpdesk Specialist,"Job Description
JD: Helpdesk Specialist 

Experience : 2- 4  yrs 

Shifts: Rotational Shifts 

•    Serve as the first contact with customers who need technical assistance via the phone or email.

•    Provide support for incoming queries and issues related to computer systems, O365, Active directory, software and hardware (Printer/ Scanner).

•    Actively monitoring the Applications and Mailboxes for our clients.

•    Supervise all alerts related to application and system procedures and provide services proactively.

•    Install, modify, and repair computer hardware and software.

•    Resolve technical problems with Local Area Networks (LAN), Wide Area Networks (WAN), and other systems.

•    Ensure that client systems are fully operational.

•    Flexibility - Willing to work in shifts 24/7.

•    Log all support based interactions timely and escalate to support engineer. 

•    Add on experience on Phone based Application Support.

•    Timely respond to email messages for customers seeking help.

•    Excellent problem-solving and communication skills. 

•    Follow up with customers to ensure issue has been resolved.

        

      Qualification : BSC / MSC / B-Tech / BE in Information Technology, Computer Science 

",{Helpdesk},{Bangalore},JDHS2266,Active,Medium,INR,Work from Office,Permanent,job description jd helpdesk specialist experience yr shift rotational shift serve first contact customer need technical assistance via phone email provide support incoming query issue related computer system active directory software hardware scanner actively monitoring application mailbox client supervise alert related application system procedure provide service proactively install modify repair computer hardware software resolve technical problem local area network lan wide area network wan system ensure client system fully operational flexibility willing work shift log support based interaction timely escalate support engineer add experience phone based application support timely respond email message customer seeking help excellent communication skill follow customer ensure issue resolved qualification bsc msc information technology computer science helpdesk
